epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,874.474,0.20872,0.17627,0.80921,0.99888,1,0.995,0.99362,0.151,0.116,0.73516,0.000523586,0.000523586,0.000523586
66,885.019,0.20602,0.17286,0.8124,0.99914,1,0.995,0.99379,0.14524,0.11617,0.73486,0.000509438,0.000509438,0.000509438
67,895.263,0.2046,0.1728,0.81204,0.99904,1,0.995,0.99295,0.15055,0.11706,0.73625,0.000495291,0.000495291,0.000495291
68,905.069,0.198,0.1687,0.81306,0.99883,1,0.995,0.99426,0.15083,0.12054,0.73584,0.000481144,0.000481144,0.000481144
69,914.815,0.20727,0.17468,0.81533,0.99925,1,0.995,0.99395,0.15364,0.12023,0.73515,0.000466997,0.000466997,0.000466997
70,924.513,0.19991,0.16972,0.81582,0.99903,1,0.995,0.99454,0.1378,0.11162,0.73364,0.00045285,0.00045285,0.00045285
71,934.282,0.2029,0.16612,0.80981,0.99889,1,0.995,0.99371,0.14207,0.10717,0.73509,0.000438703,0.000438703,0.000438703
72,944.067,0.19314,0.16225,0.80907,0.99896,1,0.995,0.99289,0.14599,0.1112,0.73495,0.000424556,0.000424556,0.000424556
73,953.967,0.19371,0.16116,0.81257,0.99832,1,0.995,0.99423,0.14006,0.11005,0.7356,0.000410409,0.000410409,0.000410409
74,963.912,0.1969,0.16439,0.80911,0.99844,1,0.995,0.99395,0.14526,0.11042,0.73693,0.000396262,0.000396262,0.000396262
75,973.763,0.19587,0.1597,0.80706,0.99828,1,0.995,0.99356,0.14039,0.10561,0.73541,0.000382115,0.000382115,0.000382115
76,983.598,0.19826,0.16228,0.80775,0.99825,1,0.995,0.99381,0.14964,0.1074,0.7363,0.000367967,0.000367967,0.000367967
77,993.913,0.20321,0.16262,0.80753,0.99828,1,0.995,0.99429,0.14131,0.11239,0.73467,0.00035382,0.00035382,0.00035382
78,1004.44,0.19138,0.15836,0.80645,0.99819,1,0.995,0.99389,0.13908,0.10395,0.73553,0.000339673,0.000339673,0.000339673
79,1015.38,0.19655,0.16118,0.80837,0.99825,1,0.995,0.99421,0.13903,0.10639,0.73465,0.000325526,0.000325526,0.000325526
80,1025.82,0.19086,0.1587,0.80623,0.99807,1,0.995,0.99377,0.14681,0.11029,0.73596,0.000311379,0.000311379,0.000311379
81,1035.85,0.18707,0.15463,0.80858,0.99814,1,0.995,0.99415,0.12963,0.10005,0.73357,0.000297232,0.000297232,0.000297232
