epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,95.3601,0.44101,0.42751,0.80923,0.9861,0.91121,0.92167,0.87145,0.42781,0.35705,0.82915,0.000283085,0.000283085,0.000283085
83,96.1548,0.4305,0.41662,0.80456,0.9861,0.91121,0.92167,0.87145,0.42781,0.35705,0.82915,0.000268938,0.000268938,0.000268938
84,97.0004,0.43691,0.4267,0.82013,0.98872,0.91075,0.92167,0.87216,0.42765,0.35234,0.82942,0.000254791,0.000254791,0.000254791
85,97.8274,0.46274,0.43699,0.82215,0.9912,0.91167,0.92167,0.87445,0.42816,0.35838,0.83025,0.000240644,0.000240644,0.000240644
86,98.7238,0.44572,0.42136,0.82859,0.98787,0.91876,0.92167,0.87152,0.41921,0.3594,0.82856,0.000226497,0.000226497,0.000226497
87,99.5397,0.44594,0.41568,0.81857,0.98787,0.91876,0.92167,0.87152,0.41921,0.3594,0.82856,0.000212349,0.000212349,0.000212349
88,100.538,0.44028,0.41273,0.81863,0.98538,0.92231,0.92167,0.8603,0.42247,0.35772,0.82783,0.000198202,0.000198202,0.000198202
89,101.402,0.44425,0.41324,0.80473,0.98774,0.91988,0.92167,0.86451,0.425,0.34689,0.82796,0.000184055,0.000184055,0.000184055
90,102.249,0.45179,0.41837,0.81414,0.98963,0.91751,0.92167,0.86475,0.43594,0.34791,0.82922,0.000169908,0.000169908,0.000169908
91,150.042,0.43744,0.4558,0.80788,0.98963,0.91751,0.92167,0.86475,0.43594,0.34791,0.82922,0.000155761,0.000155761,0.000155761
92,150.984,0.42357,0.44449,0.81525,0.99056,0.91659,0.92167,0.86407,0.44467,0.35043,0.82935,0.000141614,0.000141614,0.000141614
93,151.775,0.42762,0.439,0.81409,0.99087,0.91668,0.922,0.84975,0.45454,0.35741,0.82931,0.000127467,0.000127467,0.000127467
94,152.571,0.42975,0.44135,0.79903,0.99031,0.91731,0.922,0.85016,0.45541,0.36702,0.82839,0.00011332,0.00011332,0.00011332
95,153.388,0.42215,0.43771,0.80313,0.99031,0.91731,0.922,0.85016,0.45541,0.36702,0.82839,9.91726e-05,9.91726e-05,9.91726e-05
96,154.24,0.43498,0.44782,0.80778,0.99045,0.91747,0.92167,0.86276,0.44425,0.36675,0.8276,8.50255e-05,8.50255e-05,8.50255e-05
97,155.111,0.42276,0.43371,0.80216,0.99083,0.91729,0.92167,0.86454,0.43201,0.3685,0.82614,7.08784e-05,7.08784e-05,7.08784e-05
98,155.966,0.41367,0.45364,0.81227,0.99115,0.91677,0.92167,0.86825,0.42052,0.35976,0.82525,5.67313e-05,5.67313e-05,5.67313e-05
99,157.053,0.4311,0.45027,0.81003,0.99115,0.91677,0.92167,0.86825,0.42052,0.35976,0.82525,4.25842e-05,4.25842e-05,4.25842e-05
100,157.909,0.42121,0.44066,0.81175,0.99043,0.9168,0.92167,0.87537,0.4173,0.35589,0.82504,2.84371e-05,2.84371e-05,2.84371e-05
